method,sample_group_id,spatial_block,forest_class,target_year,horizon_seasons,mae,mape_percent,psnr_db,sam_degrees,pixels
seasonal_median,60,1209_249,broadleaf,2024,1,0.0142013626173138,16.850006103515625,32.52336551606529,3.676048517227173,128
seasonal_median,61,1209_249,broadleaf,2024,2,0.0154498117044568,16.701156616210938,31.10560728521912,3.847366333007813,128
seasonal_median,62,1209_249,broadleaf,2024,4,0.0140530867502093,15.722070693969728,31.96115169359097,4.008330821990967,128
seasonal_median,63,1209_249,broadleaf,2024,1,0.015113890171051,14.880828857421877,33.46546353064817,4.1505279541015625,128
seasonal_median,64,1209_249,broadleaf,2024,2,0.0168890357017517,15.548284530639648,32.42050642295837,4.369102954864502,128
seasonal_median,65,1209_249,broadleaf,2024,4,0.016345402225852,15.802054405212402,32.94557016410036,4.250126838684082,128
seasonal_median,66,1209_249,broadleaf,2024,1,0.011997103691101,11.465672492980955,33.5762728148541,2.85860013961792,128
seasonal_median,67,1209_249,broadleaf,2024,2,0.0135612292215228,12.690119743347168,31.874379734911237,3.2174291610717773,128
seasonal_median,68,1209_249,broadleaf,2024,4,0.0125009315088391,11.733988761901855,32.51161534292389,2.971385717391968,128
seasonal_median,69,1209_249,broadleaf,2024,1,0.0113078458234667,10.668087005615234,33.69595134903512,2.515366315841675,128
seasonal_median,70,1209_249,broadleaf,2024,2,0.0116618573665618,11.455202102661133,34.01821227500606,2.390801429748535,128
seasonal_median,71,1209_249,broadleaf,2024,4,0.0129566891118884,11.113813400268556,31.97246042347038,2.853143215179444,128
seasonal_median,72,1209_249,broadleaf,2025,1,0.0104055302217602,12.2381010055542,34.71615305784093,2.9366049766540527,128
seasonal_median,73,1209_249,broadleaf,2025,2,0.0107571482658386,11.911839485168455,34.50116049549739,3.003558158874512,128
seasonal_median,74,1209_249,broadleaf,2025,4,0.0114839971065521,13.982380867004396,34.32510315332868,3.4758787155151367,128
seasonal_median,75,1209_249,broadleaf,2025,1,0.0148075222969055,17.878406524658203,32.65622854781148,3.901163101196289,128
seasonal_median,76,1209_249,broadleaf,2025,2,0.0160825047641992,17.877166748046875,31.59801945971723,4.191727638244629,128
seasonal_median,77,1209_249,broadleaf,2025,4,0.0150084095075726,19.077579498291016,32.79268872544468,3.681499481201172,128
seasonal_median,78,1209_249,broadleaf,2025,1,0.0100680589675903,10.156441688537598,35.118489379291084,2.273033380508423,128
seasonal_median,79,1209_249,broadleaf,2025,2,0.0098903374746441,10.42580223083496,34.36207365633977,2.264174222946167,128
seasonal_median,80,1209_249,broadleaf,2025,4,0.010728140361607,9.849754333496094,33.41436607348851,2.4814722537994385,128
seasonal_median,81,1209_249,broadleaf,2025,1,0.0103726284578442,9.750953674316406,34.684672536481465,2.4143426418304443,128
seasonal_median,82,1209_249,broadleaf,2025,2,0.0121245188638567,11.457715034484863,33.1708882955698,2.895248413085937,128
seasonal_median,83,1209_249,broadleaf,2025,4,0.0116063356399536,11.140357971191406,33.835974171595275,2.865921974182129,128
seasonal_median,144,1204_253,broadleaf,2024,1,0.0146177811548113,11.34994888305664,32.63115861564921,4.187486171722412,128
seasonal_median,145,1204_253,broadleaf,2024,2,0.0138670997694134,11.17114543914795,33.28704753522636,4.238633155822754,128
seasonal_median,146,1204_253,broadleaf,2024,4,0.014718790538609,11.329298973083496,31.71531848585405,4.072726726531982,128
seasonal_median,147,1204_253,broadleaf,2024,1,0.0141310691833496,9.54196548461914,33.26517127911612,3.834257125854492,128
seasonal_median,148,1204_253,broadleaf,2024,2,0.01520327758044,9.657814979553224,31.976112517757382,3.870670557022095,128
seasonal_median,149,1204_253,broadleaf,2024,4,0.0139404134824872,9.742892265319824,33.419768422736674,4.176122665405273,128
seasonal_median,150,1204_253,broadleaf,2024,1,0.0130558209493756,12.173545837402344,34.19741945061371,3.7072677612304688,128
seasonal_median,151,1204_253,broadleaf,2024,2,0.0142636699602007,12.160139083862305,33.39523051874376,3.920578002929688,128
seasonal_median,152,1204_253,broadleaf,2024,4,0.0134726762771606,11.386184692382812,33.42444103632965,3.807919025421143,128
seasonal_median,153,1204_253,broadleaf,2024,1,0.0147517723962664,12.05592155456543,32.55492577381646,3.899914741516113,128
seasonal_median,154,1204_253,broadleaf,2024,2,0.015079696662724,12.53176212310791,32.48197360620166,4.128852844238281,128
seasonal_median,155,1204_253,broadleaf,2024,4,0.0149577660486102,12.474308013916016,32.42992194394866,4.417088508605957,128
seasonal_median,156,1204_253,broadleaf,2025,1,0.009625812061131,7.8766584396362305,35.3101812386228,2.9977400302886963,128
seasonal_median,157,1204_253,broadleaf,2025,2,0.0090209441259503,7.675057411193848,36.87327692536117,2.8173787593841557,128
seasonal_median,158,1204_253,broadleaf,2025,4,0.0098639726638793,8.548494338989258,35.93591028519577,3.1640729904174805,128
seasonal_median,159,1204_253,broadleaf,2025,1,0.0226092338562011,23.01839828491211,30.2882836325117,7.307933807373047,128
seasonal_median,160,1204_253,broadleaf,2025,2,0.0213906373828649,22.877016067504883,31.26980654861176,7.024816989898682,128
seasonal_median,161,1204_253,broadleaf,2025,4,0.0208120737224817,22.08446311950684,31.37823359770808,6.270252227783203,128
seasonal_median,162,1204_253,broadleaf,2025,1,0.0123113198205828,10.030046463012695,33.6705461117415,3.2496707439422607,128
seasonal_median,163,1204_253,broadleaf,2025,2,0.0129272537305951,10.544386863708496,33.53953359154162,3.388000249862671,128
seasonal_median,164,1204_253,broadleaf,2025,4,0.012755811214447,10.22004222869873,34.11536197496939,3.054550170898437,128
seasonal_median,165,1204_253,broadleaf,2025,1,0.0130406217649579,9.84286117553711,33.15135449416898,3.623225688934326,128
seasonal_median,166,1204_253,broadleaf,2025,2,0.013091186992824,10.469385147094728,33.08879427277395,3.83709979057312,128
seasonal_median,167,1204_253,broadleaf,2025,4,0.0127564473077654,9.4349946975708,33.0560867179109,3.450135946273804,128
seasonal_median,228,1204_258,broadleaf,2024,1,0.0120457215234637,8.744552612304688,33.38418089843324,3.544952630996704,128
seasonal_median,229,1204_258,broadleaf,2024,2,0.0119289951398968,8.762880325317383,33.45538964091589,3.8183560371398926,128
seasonal_median,230,1204_258,broadleaf,2024,4,0.0128804640844464,9.51805305480957,33.14581149362893,3.691541910171509,128
seasonal_median,231,1204_258,broadleaf,2024,1,0.0137044982984662,11.58247184753418,33.633971968640886,3.9971203804016113,128
seasonal_median,232,1204_258,broadleaf,2024,2,0.0122044486925005,11.19304656982422,34.752220157240515,3.539074659347534,128
seasonal_median,233,1204_258,broadleaf,2024,4,0.0124063091352581,10.268011093139648,34.68135148475276,3.496307373046875,128
seasonal_median,234,1204_258,broadleaf,2024,1,0.0115583837032318,13.68561553955078,36.05442670504382,3.1527841091156006,128
seasonal_median,235,1204_258,broadleaf,2024,2,0.0116992490366101,15.06923770904541,36.466841659297785,3.191111326217652,128
seasonal_median,236,1204_258,broadleaf,2024,4,0.0122612910345196,14.330035209655762,35.24360708414921,3.3737094402313232,128
seasonal_median,237,1204_258,broadleaf,2024,1,0.0149622159078717,11.776575088500977,32.23890880408426,3.982194185256958,128
seasonal_median,238,1204_258,broadleaf,2024,2,0.0135509567335248,10.636397361755373,32.63136086645996,3.5711536407470703,128
seasonal_median,239,1204_258,broadleaf,2024,4,0.0145905213430523,11.858652114868164,32.64518950026756,3.805805206298828,128
seasonal_median,240,1204_258,broadleaf,2025,1,0.0081260399892926,6.892470359802246,38.23440901846523,2.4512739181518555,128
seasonal_median,241,1204_258,broadleaf,2025,2,0.0083585577085614,7.078772068023682,37.73868824699024,2.572345495223999,128
seasonal_median,242,1204_258,broadleaf,2025,4,0.0094751119613647,7.898428440093994,36.46193435650439,2.802067995071411,128
seasonal_median,243,1204_258,broadleaf,2025,1,0.017274597659707,13.00084114074707,30.833739855409394,6.03629732131958,128
seasonal_median,244,1204_258,broadleaf,2025,2,0.0169143285602331,12.311050415039062,30.791126655518852,5.9842047691345215,128
seasonal_median,245,1204_258,broadleaf,2025,4,0.0154932737350463,12.055692672729492,32.04591481145325,5.296511650085449,128
seasonal_median,246,1204_258,broadleaf,2025,1,0.0093885464593768,9.54613971710205,37.17825250880167,2.5192134380340576,128
seasonal_median,247,1204_258,broadleaf,2025,2,0.0103423791006207,10.588027954101562,36.316325984643015,2.9936208724975586,128
seasonal_median,248,1204_258,broadleaf,2025,4,0.0098108844831585,10.792583465576172,36.77267088908773,2.8284945487976074,128
seasonal_median,249,1204_258,broadleaf,2025,1,0.0089226961135864,7.79061222076416,37.355858686082456,2.5531716346740723,128
seasonal_median,250,1204_258,broadleaf,2025,2,0.0095574455335736,7.639360427856445,36.34680239744621,2.749237298965454,128
seasonal_median,251,1204_258,broadleaf,2025,4,0.0088161630555987,7.308094978332519,37.34054468866812,2.4120278358459477,128
seasonal_median,312,1208_245,broadleaf,2024,1,0.0304197967052459,29.95267868041992,26.338963894824843,5.859913349151611,128
seasonal_median,313,1208_245,broadleaf,2024,2,0.0296315550804138,28.75993537902832,26.408377989060376,5.985269546508789,128
