evaluation_scope,method,events,mean_auroc,median_auroc,mean_auprc,mean_topk_iou,mean_topk_precision,mean_topk_recall,mean_residual_ratio
all_target,gru_h8,10,0.832408965807728,0.8420220645439137,0.1070976906323386,0.0696755680855229,0.1152742132319748,0.1152742132319748,2.424818080663681
all_target,forest_conditioned_gru,10,0.8313447773144779,0.8370043274707566,0.1088174974028342,0.0696755680855229,0.1152742132319748,0.1152742132319748,2.428893095254898
all_target,shared_residual_ssm,10,0.8272137781746265,0.8498988010891612,0.1072346342453383,0.0696755680855229,0.1152742132319748,0.1152742132319748,2.4133199036121367
all_target,forest_conditioned_ssm,10,0.8266635744657014,0.842887780973021,0.1092348191810899,0.0696755680855229,0.1152742132319748,0.1152742132319748,2.412600463628769
all_target,seasonal_median,10,0.8198744237518906,0.8506604758828595,0.106806544310608,0.0696755680855229,0.1152742132319748,0.1152742132319748,2.387529069185257
all_target,validation_selected_physical,10,0.8176490808066144,0.8278705648634381,0.1088781748731062,0.0717932151443464,0.1189779169356785,0.1189779169356785,2.3885399639606475
all_target,direct_pair,10,0.7665876658432864,0.7544271662938465,0.1109248539795287,0.0698324308306209,0.1151317630895246,0.1151317630895246,1.932717651128769
history_supported,gru_h8,5,0.8363521733571178,0.8515471993732863,0.1028189111791414,0.0779834214457516,0.1426327188294401,0.1426327188294401,2.410609054565429
history_supported,forest_conditioned_gru,5,0.8329221015960684,0.8515471993732863,0.1055861157643371,0.0759483922547591,0.13935403030485,0.13935403030485,2.391775798797608
history_supported,shared_residual_ssm,5,0.8126482699810925,0.8084186671143193,0.0910598255796749,0.0739391018792554,0.1358786204687844,0.1358786204687844,2.327484369277954
history_supported,forest_conditioned_ssm,5,0.809963772896037,0.8084186671143193,0.0894773341080479,0.063539951254858,0.1182392762064893,0.1182392762064893,2.293542098999024
history_supported,seasonal_median,5,0.8020473732928277,0.7806371367414235,0.0842501466855713,0.0797756079489825,0.1457146860425549,0.1457146860425549,2.2667415857315065
history_supported,validation_selected_physical,5,0.7948456026418933,0.8088107680737412,0.0764134562796118,0.0569034037462213,0.1049253721384868,0.1049253721384868,2.1495354652404783
history_supported,direct_pair,5,0.6770294901591518,0.7477293325876931,0.0636099284585525,0.0313846153846153,0.0582010582010582,0.0582010582010582,1.6556833386421204
