sample_group_id,window_id,target_date,fold,forest_class_code,selected_basis,alpha,beta,evaluation_pixels,full_image_seasonal_mae,full_image_seasonal_sam_degrees,full_image_gru_mae,full_image_gru_sam_degrees,full_image_forest_gru_mae,full_image_forest_gru_sam_degrees,full_image_phenology_gru_mae,full_image_phenology_gru_sam_degrees
1167,NORMAL_0218,2025-04-15,0,1,harmonic_2_trend,0.8,0.25,4096,0.0209523942321538,7.582558631896973,0.013843229971826,4.705772399902344,0.0137023478746414,4.625293731689453,0.0129390256479382,4.247842311859131
159,NORMAL_0031,2025-04-15,3,1,harmonic_2_trend,0.8,0.25,4096,0.0213832389563322,6.876776218414307,0.0157516654580831,4.582960605621338,0.0157347600907087,4.418984413146973,0.0149595728144049,4.16828203201294
1335,NORMAL_0235,2025-04-15,0,1,harmonic_2_trend,0.8,0.25,3918,0.019803112372756,7.083805561065674,0.0143591789528727,4.936328887939453,0.0139448568224906,4.781187534332275,0.0133067220449447,4.528657913208008
573,NORMAL_0108,2024-10-15,4,1,harmonic_2_trend,0.9,0.25,4096,0.0178549271076917,5.385826110839844,0.0149058802053332,4.874284267425537,0.0147890225052833,4.768725872039795,0.0144176548346877,4.803238391876221
66,NORMAL_0011,2024-07-15,2,1,harmonic_2_trend,0.8,0.3,4096,0.0119189424440264,2.8911211490631104,0.0096268123015761,2.334578275680542,0.0094826044514775,2.3003504276275635,0.0090494090691208,2.2153472900390625
