sample_group_id,window_index,window_id,spatial_block,forest_class_code,forest_class,fold,target_day,target_date,target_year,target_quarter,horizon_seasons,support_pixels,method,method_label,pixels,mae,mape_percent,psnr_db,sam_degrees
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,seasonal_median,Seasonal median,128,0.0140530867502093,15.722070693969728,31.961151679845507,4.008330821990967
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,validation_selected_physical,Validation-selected physical phenology,128,0.0137207927182316,16.268075942993164,32.48008964023057,3.846313238143921
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,shared_residual_ssm,Shared residual SSM,128,0.0136763779446482,14.931966781616213,32.05571422589647,3.93851900100708
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0131446672603487,14.869552612304688,32.55325963524625,3.747613668441773
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,validation_selected_transformer,Matched causal Transformer,128,0.0138877080753445,14.431203842163086,31.797471639472683,3.855445146560669
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0137733817100524,14.872344017028809,31.982523882887225,3.922536373138428
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,validation_selected_gru,Matched GRU residual backbone,128,0.0140029685571789,14.190123558044434,31.68627539285827,3.806385755538941
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0136964470148086,13.896207809448242,31.912877760249664,3.663335084915161
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,last_observation,Last valid observation,128,0.0163116548210382,19.08368682861328,30.937611166865665,4.430936336517334
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,gru_h8,"GRU, 8-step history",128,0.0140029685571789,14.190123558044434,31.68627539285827,3.806385755538941
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,gru_h16,"GRU, 16-step history",128,0.0136968484148383,14.868879318237305,32.03446387768734,3.9492383003234863
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,transformer_h8,"Transformer, 8-step history",128,0.0138877080753445,14.431203842163086,31.797471639472683,3.855445146560669
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128,transformer_h16,"Transformer, 16-step history",128,0.0137645928189158,15.005098342895508,32.00996902759375,3.945635318756104
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,seasonal_median,Seasonal median,128,0.015113890171051,14.880828857421877,33.465463683457564,4.1505279541015625
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,validation_selected_physical,Validation-selected physical phenology,128,0.0147414989769458,13.97703456878662,33.54562985386902,3.987193107604981
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,shared_residual_ssm,Shared residual SSM,128,0.0148260621353983,14.99345874786377,33.66094330337723,4.207204341888428
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0151905864477157,15.256820678710938,33.50869331033857,4.258656024932861
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,validation_selected_transformer,Matched causal Transformer,128,0.0151775879785418,15.20840835571289,33.43199025201262,4.319149494171143
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0154661834239959,15.345257759094238,33.31046107526086,4.315309047698975
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,validation_selected_gru,Matched GRU residual backbone,128,0.0141746997833251,14.234707832336426,34.015959263101074,3.917927026748657
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0144128585234284,14.411285400390623,33.924044667429925,3.931488752365112
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,last_observation,Last valid observation,128,0.030985951423645,31.16056632995605,28.2840174456273,6.672004222869873
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,gru_h8,"GRU, 8-step history",128,0.0141746997833251,14.234707832336426,34.015959263101074,3.917927026748657
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,gru_h16,"GRU, 16-step history",128,0.0151564767584204,15.039411544799805,33.4514514744943,4.229716300964356
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,transformer_h8,"Transformer, 8-step history",128,0.0151775879785418,15.20840835571289,33.43199025201262,4.319149494171143
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128,transformer_h16,"Transformer, 16-step history",128,0.0151551328599452,14.944796562194824,33.43955944770603,4.188702583312988
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,seasonal_median,Seasonal median,128,0.0168890357017517,15.548284530639648,32.42050662524615,4.369102954864502
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,validation_selected_physical,Validation-selected physical phenology,128,0.0163539182394742,14.841710090637209,32.54031182604814,4.224632263183594
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,shared_residual_ssm,Shared residual SSM,128,0.0162251312285661,15.012460708618164,32.73296661093541,4.261497974395752
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0164739433676004,15.277504920959473,32.578904026608015,4.354973793029785
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,validation_selected_transformer,Matched causal Transformer,128,0.0172287952154874,15.792475700378418,32.19080767677046,4.677448749542236
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0171192307025194,15.791090965270996,32.29060497429309,4.519634246826172
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,validation_selected_gru,Matched GRU residual backbone,128,0.0160682629793882,14.706878662109377,32.819464920242176,4.144948959350586
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0162475500255823,14.93696403503418,32.70043732709125,4.218106269836426
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,last_observation,Last valid observation,128,0.0281334612518548,28.486814498901367,28.76790737444632,7.804247856140137
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,gru_h8,"GRU, 8-step history",128,0.0160682629793882,14.706878662109377,32.819464920242176,4.144948959350586
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,gru_h16,"GRU, 16-step history",128,0.0167430248111486,15.418102264404297,32.46074973179833,4.40653133392334
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,transformer_h8,"Transformer, 8-step history",128,0.0172287952154874,15.792475700378418,32.19080767677046,4.677448749542236
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128,transformer_h16,"Transformer, 16-step history",128,0.0168916787952184,15.512371063232422,32.39192601911094,4.410414218902588
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,seasonal_median,Seasonal median,128,0.016345402225852,15.802054405212402,32.9455701030841,4.250126838684082
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,validation_selected_physical,Validation-selected physical phenology,128,0.0157624464482069,14.729897499084473,33.09474222963017,4.086464881896973
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,shared_residual_ssm,Shared residual SSM,128,0.0161181613802909,15.591734886169434,33.03649510706547,4.284524440765381
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0160312000662088,15.337385177612305,33.00715816871498,4.3001885414123535
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,validation_selected_transformer,Matched causal Transformer,128,0.0170888137072324,16.280168533325195,32.5042562253278,4.664130687713623
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0164838321506977,15.935553550720217,32.863178934794725,4.337059020996094
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,validation_selected_gru,Matched GRU residual backbone,128,0.0175668094307184,16.77301025390625,32.280177982506586,4.8839192390441895
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0176856275647878,16.874797821044922,32.21858798679002,4.987388610839844
