window_id,truth_id,event_group_id,source_split,forest_class_code,forest_class_label,before_date,after_date,target_date,post_event_delay_days,method,evaluation_scope,event_pixels_total,event_pixels,background_pixels,event_history_support_fraction,eligible_history_support_fraction,event_residual_mean,background_residual_mean,residual_ratio,auroc,auprc,topk_iou,topk_precision,topk_recall
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,validation_selected_physical,all_target,25,25,4004,0.0,0.547607421875,0.1082056686282157,0.0575363747775554,1.8806480169296265,0.7312587412587411,0.0108727231654417,0.0,0.0,0.0
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,validation_selected_physical,history_supported,25,0,2243,0.0,0.547607421875,,0.0112640699371695,,,,,,
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,gru_h8,all_target,25,25,4004,0.0,0.547607421875,0.0922532305121421,0.0507336035370826,1.818385124206543,0.7311888111888112,0.0108701403371053,0.0,0.0,0.0
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,gru_h8,history_supported,25,0,2243,0.0,0.547607421875,,0.0116212973371148,,,,,,
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_gru,all_target,25,25,4004,0.0,0.547607421875,0.0922532305121421,0.0507336035370826,1.818385124206543,0.7311888111888112,0.0108701403371053,0.0,0.0,0.0
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_gru,history_supported,25,0,2243,0.0,0.547607421875,,0.0116212973371148,,,,,,
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,shared_residual_ssm,all_target,25,25,4004,0.0,0.547607421875,0.1000872775912284,0.0546320900321006,1.8320236206054688,0.7312587412587411,0.0108727231654417,0.0,0.0,0.0
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,shared_residual_ssm,history_supported,25,0,2243,0.0,0.547607421875,,0.0124533325433731,,,,,,
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_ssm,all_target,25,25,4004,0.0,0.547607421875,0.1000872775912284,0.0546320900321006,1.8320236206054688,0.7312587412587411,0.0108727231654417,0.0,0.0,0.0
TRUTH_45ac28012eeeda24fef914e0,TRUTH_45ac28012eeeda24fef914e0,EVG2025_3b9fd4736ba7,holdout_2025,4,混合／待成林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_ssm,history_supported,25,0,2243,0.0,0.547607421875,,0.0124533325433731,,,,,,
