window_id,forest_class,date,year,quarter,ndvi
NORMAL_0035,broadleaf,2024-01-15,2024,1,0.75927734375
NORMAL_0035,broadleaf,2024-04-15,2024,2,0.69580078125
NORMAL_0035,broadleaf,2024-07-15,2024,3,0.818359375
NORMAL_0035,broadleaf,2024-10-15,2024,4,0.80908203125
NORMAL_0035,broadleaf,2025-01-15,2025,1,0.7236328125
NORMAL_0035,broadleaf,2025-04-15,2025,2,0.72900390625
NORMAL_0035,broadleaf,2025-07-15,2025,3,0.807373046875
NORMAL_0035,broadleaf,2025-10-15,2025,4,0.78466796875
NORMAL_0059,broadleaf,2018-01-15,2018,1,0.82958984375
NORMAL_0059,broadleaf,2019-01-15,2019,1,0.83837890625
NORMAL_0059,broadleaf,2019-04-15,2019,2,0.836669921875
NORMAL_0059,broadleaf,2019-07-15,2019,3,0.8974609375
NORMAL_0059,broadleaf,2019-10-15,2019,4,0.90087890625
NORMAL_0059,broadleaf,2020-01-15,2020,1,0.875
NORMAL_0059,broadleaf,2020-04-15,2020,2,0.83349609375
NORMAL_0059,broadleaf,2020-07-15,2020,3,0.8984375
NORMAL_0059,broadleaf,2020-10-15,2020,4,0.8974609375
NORMAL_0059,broadleaf,2021-01-15,2021,1,0.89404296875
NORMAL_0059,broadleaf,2021-04-15,2021,2,0.79638671875
NORMAL_0059,broadleaf,2021-07-15,2021,3,0.8681640625
NORMAL_0059,broadleaf,2021-10-15,2021,4,0.8984375
NORMAL_0059,broadleaf,2022-01-15,2022,1,0.89990234375
NORMAL_0059,broadleaf,2022-04-15,2022,2,0.888671875
NORMAL_0059,broadleaf,2022-07-15,2022,3,0.8857421875
NORMAL_0059,broadleaf,2022-10-15,2022,4,0.8759765625
NORMAL_0059,broadleaf,2023-01-15,2023,1,0.857421875
NORMAL_0059,broadleaf,2023-04-15,2023,2,0.8349609375
NORMAL_0059,broadleaf,2023-07-15,2023,3,0.880859375
NORMAL_0059,broadleaf,2023-10-15,2023,4,0.89794921875
NORMAL_0059,broadleaf,2024-01-15,2024,1,0.82958984375
NORMAL_0059,broadleaf,2024-04-15,2024,2,0.77587890625
NORMAL_0059,broadleaf,2024-07-15,2024,3,0.86669921875
NORMAL_0059,broadleaf,2024-10-15,2024,4,0.90673828125
NORMAL_0059,broadleaf,2025-01-15,2025,1,0.90185546875
NORMAL_0059,broadleaf,2025-04-15,2025,2,0.84423828125
NORMAL_0059,broadleaf,2025-07-15,2025,3,0.875
NORMAL_0059,broadleaf,2025-10-15,2025,4,0.90283203125
NORMAL_0061,broadleaf,2018-01-15,2018,1,0.092041015625
NORMAL_0061,broadleaf,2018-04-15,2018,2,0.091400146484375
NORMAL_0061,broadleaf,2019-01-15,2019,1,0.12921142578125
NORMAL_0061,broadleaf,2019-04-15,2019,2,0.118621826171875
NORMAL_0061,broadleaf,2019-07-15,2019,3,0.16229248046875
NORMAL_0061,broadleaf,2019-10-15,2019,4,0.125732421875
NORMAL_0061,broadleaf,2020-01-15,2020,1,0.16180419921875
NORMAL_0061,broadleaf,2020-04-15,2020,2,0.107269287109375
NORMAL_0061,broadleaf,2020-07-15,2020,3,0.1343994140625
NORMAL_0061,broadleaf,2020-10-15,2020,4,0.16845703125
NORMAL_0061,broadleaf,2021-01-15,2021,1,0.09906005859375
NORMAL_0061,broadleaf,2021-04-15,2021,2,0.1336669921875
NORMAL_0061,broadleaf,2021-07-15,2021,3,0.078094482421875
NORMAL_0061,broadleaf,2021-10-15,2021,4,0.085296630859375
NORMAL_0061,broadleaf,2022-01-15,2022,1,0.15496826171875
NORMAL_0061,broadleaf,2022-04-15,2022,2,0.11798095703125
NORMAL_0061,broadleaf,2022-07-15,2022,3,0.21221923828125
NORMAL_0061,broadleaf,2022-10-15,2022,4,0.1978759765625
NORMAL_0061,broadleaf,2023-01-15,2023,1,0.1041259765625
NORMAL_0061,broadleaf,2023-04-15,2023,2,0.12841796875
NORMAL_0061,broadleaf,2023-07-15,2023,3,0.110748291015625
NORMAL_0061,broadleaf,2023-10-15,2023,4,0.080230712890625
NORMAL_0061,broadleaf,2024-01-15,2024,1,0.068267822265625
NORMAL_0061,broadleaf,2024-04-15,2024,2,0.100860595703125
NORMAL_0061,broadleaf,2024-07-15,2024,3,0.13909912109375
NORMAL_0061,broadleaf,2024-10-15,2024,4,0.064361572265625
NORMAL_0061,broadleaf,2025-01-15,2025,1,0.08050537109375
NORMAL_0061,broadleaf,2025-04-15,2025,2,0.072662353515625
NORMAL_0061,broadleaf,2025-07-15,2025,3,0.0615081787109375
NORMAL_0061,broadleaf,2025-10-15,2025,4,0.058685302734375
NORMAL_0081,broadleaf,2018-01-15,2018,1,0.564453125
NORMAL_0081,broadleaf,2018-04-15,2018,2,0.70703125
NORMAL_0081,broadleaf,2019-01-15,2019,1,0.67578125
NORMAL_0081,broadleaf,2019-04-15,2019,2,0.5498046875
NORMAL_0081,broadleaf,2019-07-15,2019,3,0.728515625
NORMAL_0081,broadleaf,2019-10-15,2019,4,0.68115234375
NORMAL_0081,broadleaf,2020-01-15,2020,1,0.6533203125
NORMAL_0081,broadleaf,2020-04-15,2020,2,0.6015625
NORMAL_0081,broadleaf,2020-07-15,2020,3,0.7646484375
NORMAL_0081,broadleaf,2020-10-15,2020,4,0.70947265625
NORMAL_0081,broadleaf,2021-01-15,2021,1,0.68359375
NORMAL_0081,broadleaf,2021-04-15,2021,2,0.53369140625
NORMAL_0081,broadleaf,2021-07-15,2021,3,0.7431640625
NORMAL_0081,broadleaf,2021-10-15,2021,4,0.71630859375
NORMAL_0081,broadleaf,2022-01-15,2022,1,0.69384765625
NORMAL_0081,broadleaf,2022-04-15,2022,2,0.71435546875
NORMAL_0081,broadleaf,2022-07-15,2022,3,0.767578125
NORMAL_0081,broadleaf,2022-10-15,2022,4,0.740234375
NORMAL_0081,broadleaf,2023-01-15,2023,1,0.6953125
NORMAL_0081,broadleaf,2023-04-15,2023,2,0.5126953125
NORMAL_0081,broadleaf,2023-07-15,2023,3,0.77783203125
NORMAL_0081,broadleaf,2023-10-15,2023,4,0.765625
NORMAL_0081,broadleaf,2024-01-15,2024,1,0.72021484375
NORMAL_0081,broadleaf,2024-04-15,2024,2,0.61767578125
NORMAL_0081,broadleaf,2024-07-15,2024,3,0.822265625
NORMAL_0081,broadleaf,2024-10-15,2024,4,0.76318359375
NORMAL_0081,broadleaf,2025-01-15,2025,1,0.70068359375
NORMAL_0081,broadleaf,2025-04-15,2025,2,0.69384765625
NORMAL_0081,broadleaf,2025-07-15,2025,3,0.74609375
NORMAL_0081,broadleaf,2025-10-15,2025,4,0.73974609375
NORMAL_0108,broadleaf,2018-01-15,2018,1,0.29736328125
NORMAL_0108,broadleaf,2019-01-15,2019,1,0.355224609375
NORMAL_0108,broadleaf,2019-04-15,2019,2,0.287841796875
NORMAL_0108,broadleaf,2019-07-15,2019,3,0.537109375
NORMAL_0108,broadleaf,2019-10-15,2019,4,0.347412109375
NORMAL_0108,broadleaf,2020-01-15,2020,1,0.374755859375
NORMAL_0108,broadleaf,2020-04-15,2020,2,0.264892578125
NORMAL_0108,broadleaf,2020-07-15,2020,3,0.5498046875
NORMAL_0108,broadleaf,2020-10-15,2020,4,0.39453125
NORMAL_0108,broadleaf,2021-01-15,2021,1,0.36181640625
NORMAL_0108,broadleaf,2021-04-15,2021,2,0.21826171875
NORMAL_0108,broadleaf,2021-07-15,2021,3,0.4639892578125
NORMAL_0108,broadleaf,2021-10-15,2021,4,0.418212890625
NORMAL_0108,broadleaf,2022-01-15,2022,1,0.3682861328125
NORMAL_0108,broadleaf,2022-04-15,2022,2,0.38232421875
NORMAL_0108,broadleaf,2022-07-15,2022,3,0.525390625
NORMAL_0108,broadleaf,2022-10-15,2022,4,0.3651123046875
NORMAL_0108,broadleaf,2023-01-15,2023,1,0.301025390625
NORMAL_0108,broadleaf,2023-04-15,2023,2,0.26416015625
NORMAL_0108,broadleaf,2023-07-15,2023,3,0.4910888671875
NORMAL_0108,broadleaf,2023-10-15,2023,4,0.393798828125
NORMAL_0108,broadleaf,2024-01-15,2024,1,0.3250732421875
NORMAL_0108,broadleaf,2024-04-15,2024,2,0.25439453125
NORMAL_0108,broadleaf,2024-07-15,2024,3,0.50634765625
NORMAL_0108,broadleaf,2024-10-15,2024,4,0.49365234375
NORMAL_0108,broadleaf,2025-01-15,2025,1,0.37841796875
NORMAL_0108,broadleaf,2025-04-15,2025,2,0.249755859375
NORMAL_0108,broadleaf,2025-07-15,2025,3,0.503173828125
NORMAL_0108,broadleaf,2025-10-15,2025,4,0.430908203125
NORMAL_0112,broadleaf,2018-01-15,2018,1,0.60546875
NORMAL_0112,broadleaf,2018-04-15,2018,2,0.6640625
NORMAL_0112,broadleaf,2019-01-15,2019,1,0.7265625
NORMAL_0112,broadleaf,2019-04-15,2019,2,0.591796875
NORMAL_0112,broadleaf,2019-07-15,2019,3,0.7861328125
NORMAL_0112,broadleaf,2019-10-15,2019,4,0.69091796875
NORMAL_0112,broadleaf,2020-01-15,2020,1,0.69140625
NORMAL_0112,broadleaf,2020-04-15,2020,2,0.6845703125
NORMAL_0112,broadleaf,2020-07-15,2020,3,0.791015625
NORMAL_0112,broadleaf,2020-10-15,2020,4,0.68896484375
NORMAL_0112,broadleaf,2021-01-15,2021,1,0.72216796875
NORMAL_0112,broadleaf,2021-04-15,2021,2,0.58740234375
NORMAL_0112,broadleaf,2021-07-15,2021,3,0.78271484375
NORMAL_0112,broadleaf,2021-10-15,2021,4,0.76953125
NORMAL_0112,broadleaf,2022-01-15,2022,1,0.7177734375
NORMAL_0112,broadleaf,2022-04-15,2022,2,0.73388671875
NORMAL_0112,broadleaf,2022-07-15,2022,3,0.818115234375
NORMAL_0112,broadleaf,2022-10-15,2022,4,0.77392578125
NORMAL_0112,broadleaf,2023-01-15,2023,1,0.682861328125
NORMAL_0112,broadleaf,2023-04-15,2023,2,0.611328125
NORMAL_0112,broadleaf,2023-07-15,2023,3,0.8017578125
NORMAL_0112,broadleaf,2023-10-15,2023,4,0.75439453125
NORMAL_0112,broadleaf,2024-01-15,2024,1,0.740234375
NORMAL_0112,broadleaf,2024-04-15,2024,2,0.6806640625
NORMAL_0112,broadleaf,2024-07-15,2024,3,0.8310546875
NORMAL_0112,broadleaf,2024-10-15,2024,4,0.783203125
NORMAL_0112,broadleaf,2025-01-15,2025,1,0.689453125
NORMAL_0112,broadleaf,2025-04-15,2025,2,0.71044921875
NORMAL_0112,broadleaf,2025-07-15,2025,3,0.7880859375
NORMAL_0112,broadleaf,2025-10-15,2025,4,0.76806640625
NORMAL_0124,broadleaf,2018-01-15,2018,1,0.109710693359375
NORMAL_0124,broadleaf,2018-04-15,2018,2,0.20587158203125
NORMAL_0124,broadleaf,2019-01-15,2019,1,0.134521484375
NORMAL_0124,broadleaf,2019-04-15,2019,2,0.144775390625
NORMAL_0124,broadleaf,2019-07-15,2019,3,0.124603271484375
NORMAL_0124,broadleaf,2019-10-15,2019,4,0.14501953125
NORMAL_0124,broadleaf,2020-01-15,2020,1,0.218505859375
NORMAL_0124,broadleaf,2020-04-15,2020,2,0.1639404296875
NORMAL_0124,broadleaf,2020-07-15,2020,3,0.1417236328125
NORMAL_0124,broadleaf,2020-10-15,2020,4,0.196044921875
NORMAL_0124,broadleaf,2021-01-15,2021,1,0.21942138671875
NORMAL_0124,broadleaf,2021-04-15,2021,2,0.1986083984375
NORMAL_0124,broadleaf,2021-07-15,2021,3,0.22607421875
NORMAL_0124,broadleaf,2021-10-15,2021,4,0.24176025390625
NORMAL_0124,broadleaf,2022-01-15,2022,1,0.2352294921875
NORMAL_0124,broadleaf,2022-04-15,2022,2,0.1812744140625
NORMAL_0124,broadleaf,2022-07-15,2022,3,0.1541748046875
NORMAL_0124,broadleaf,2022-10-15,2022,4,0.2362060546875
NORMAL_0124,broadleaf,2023-01-15,2023,1,0.15887451171875
NORMAL_0124,broadleaf,2023-04-15,2023,2,0.18890380859375
NORMAL_0124,broadleaf,2023-07-15,2023,3,0.104736328125
NORMAL_0124,broadleaf,2023-10-15,2023,4,0.16961669921875
NORMAL_0124,broadleaf,2024-01-15,2024,1,0.1729736328125
NORMAL_0124,broadleaf,2024-04-15,2024,2,0.183349609375
NORMAL_0124,broadleaf,2024-07-15,2024,3,0.17364501953125
NORMAL_0124,broadleaf,2024-10-15,2024,4,0.1961669921875
NORMAL_0124,broadleaf,2025-01-15,2025,1,0.0684814453125
NORMAL_0124,broadleaf,2025-04-15,2025,2,0.067108154296875
NORMAL_0124,broadleaf,2025-07-15,2025,3,0.0031299591064453
NORMAL_0124,broadleaf,2025-10-15,2025,4,0.0215301513671875
NORMAL_0135,broadleaf,2018-01-15,2018,1,0.744384765625
NORMAL_0135,broadleaf,2018-04-15,2018,2,0.88037109375
NORMAL_0135,broadleaf,2019-01-15,2019,1,0.80810546875
NORMAL_0135,broadleaf,2019-04-15,2019,2,0.73193359375
NORMAL_0135,broadleaf,2019-07-15,2019,3,0.8408203125
NORMAL_0135,broadleaf,2019-10-15,2019,4,0.828369140625
NORMAL_0135,broadleaf,2020-01-15,2020,1,0.8095703125
NORMAL_0135,broadleaf,2020-04-15,2020,2,0.80419921875
NORMAL_0135,broadleaf,2020-07-15,2020,3,0.87841796875
NORMAL_0135,broadleaf,2020-10-15,2020,4,0.8583984375
NORMAL_0135,broadleaf,2021-01-15,2021,1,0.82568359375
NORMAL_0135,broadleaf,2021-04-15,2021,2,0.73046875
NORMAL_0135,broadleaf,2021-07-15,2021,3,0.88671875
NORMAL_0135,broadleaf,2021-10-15,2021,4,0.85400390625
NORMAL_0135,broadleaf,2022-01-15,2022,1,0.8193359375
NORMAL_0135,broadleaf,2022-04-15,2022,2,0.83447265625
NORMAL_0135,broadleaf,2022-07-15,2022,3,0.87841796875
NORMAL_0135,broadleaf,2022-10-15,2022,4,0.859375
NORMAL_0135,broadleaf,2023-01-15,2023,1,0.82177734375
NORMAL_0135,broadleaf,2023-04-15,2023,2,0.6630859375
NORMAL_0135,broadleaf,2023-07-15,2023,3,0.890625
NORMAL_0135,broadleaf,2023-10-15,2023,4,0.8642578125
NORMAL_0135,broadleaf,2024-01-15,2024,1,0.86376953125
NORMAL_0135,broadleaf,2024-04-15,2024,2,0.7294921875
NORMAL_0135,broadleaf,2024-07-15,2024,3,0.85546875
NORMAL_0135,broadleaf,2024-10-15,2024,4,0.8759765625
NORMAL_0135,broadleaf,2025-01-15,2025,1,0.8408203125
NORMAL_0135,broadleaf,2025-04-15,2025,2,0.841796875
NORMAL_0135,broadleaf,2025-07-15,2025,3,0.88916015625
NORMAL_0135,broadleaf,2025-10-15,2025,4,0.8984375
NORMAL_0142,broadleaf,2018-01-15,2018,1,0.80078125
NORMAL_0142,broadleaf,2018-04-15,2018,2,0.8720703125
NORMAL_0142,broadleaf,2019-01-15,2019,1,0.86083984375
NORMAL_0142,broadleaf,2019-04-15,2019,2,0.796142578125
NORMAL_0142,broadleaf,2019-07-15,2019,3,0.818359375
NORMAL_0142,broadleaf,2019-10-15,2019,4,0.822265625
NORMAL_0142,broadleaf,2020-01-15,2020,1,0.83544921875
NORMAL_0142,broadleaf,2020-04-15,2020,2,0.78369140625
NORMAL_0142,broadleaf,2020-07-15,2020,3,0.876953125
NORMAL_0142,broadleaf,2020-10-15,2020,4,0.86181640625
