stratum,horizon_seasons,method,groups,windows,spatial_blocks,mae,mape_percent,psnr_db,sam_degrees
overall,all,forest_conditioned_gru,1152,48,43,0.0119378295815598,12.305401233335337,35.038695831019545,3.3795117254679403
overall,all,forest_conditioned_ssm,1152,48,43,0.0121549951832599,12.570541354931065,34.83882106573347,3.410961842060917
overall,all,gru_h16,1152,48,43,0.0125692905672217,12.946824427694082,34.491721582793424,3.5369589996213717
overall,all,gru_h8,1152,48,43,0.0120383945227836,12.269099246296618,34.91966999158993,3.409702301439312
overall,all,last_observation,1152,48,43,0.0233019210593031,25.797485917806625,29.99288514899116,5.378940912067062
overall,all,presto_frozen,1152,48,43,0.012553989229976,12.998584458811417,34.51909403057818,3.5274228694745235
overall,all,seasonal_median,1152,48,43,0.0127350765441305,13.22179019989239,34.39363393942416,3.5872193495225577
overall,all,shared_residual_ssm,1152,48,43,0.0123113254578331,12.53938004001975,34.66313669408073,3.4524657969466515
overall,all,transformer_h16,1152,48,43,0.0125606434485234,12.97778520360589,34.50806661747096,3.5276505241377487
overall,all,transformer_h8,1152,48,43,0.0122594349789627,12.556700869152944,34.71394614421037,3.498650095115105
overall,all,validation_selected_gru,1152,48,43,0.0120383945227836,12.269099246296618,34.91966999158993,3.409702301439312
overall,all,validation_selected_physical,1152,48,43,0.0127282751948061,14.088402033680016,34.59224663530583,3.5916531706849733
overall,all,validation_selected_transformer,1152,48,43,0.0122594349789627,12.556700869152944,34.71394614421037,3.498650095115105
overall,1,forest_conditioned_gru,384,48,43,0.0118559735092276,12.29918236285448,35.13384830235392,3.360092341899872
overall,1,forest_conditioned_ssm,384,48,43,0.0121270468480361,12.546040561050177,34.89260532146777,3.400833151303232
overall,1,gru_h16,384,48,43,0.0125560079274388,12.965573264906803,34.52089580339467,3.5371204198648534
overall,1,gru_h8,384,48,43,0.01196869044846,12.268131855875254,34.99286638696548,3.396563677427669
overall,1,last_observation,384,48,43,0.02419431133967,26.60278084129095,29.27294228267438,5.51464270055294
overall,1,presto_frozen,384,48,43,0.012561476824582,13.041285149753094,34.53963030226968,3.5332440957427025
overall,1,seasonal_median,384,48,43,0.0127468444188707,13.256907823185124,34.407500383965605,3.596411888487637
overall,1,shared_residual_ssm,384,48,43,0.0122830588916258,12.519066429386536,34.705189295374865,3.4448360027745366
overall,1,transformer_h16,384,48,43,0.0125697259184865,13.023529446373384,34.52617702865866,3.5342635155345
overall,1,transformer_h8,384,48,43,0.0122309829882093,12.60877368102471,34.76451878532654,3.4999447086205087
overall,1,validation_selected_gru,384,48,43,0.01196869044846,12.268131855875254,34.99286638696548,3.396563677427669
overall,1,validation_selected_physical,384,48,43,0.0127205568320884,14.080618418753147,34.63415650031187,3.594603218138218
overall,1,validation_selected_transformer,384,48,43,0.0122309829882093,12.60877368102471,34.76451878532654,3.4999447086205087
overall,2,forest_conditioned_gru,384,48,43,0.0117800016929929,12.24189679697156,35.143775585188315,3.336388100249072
overall,2,forest_conditioned_ssm,384,48,43,0.0120340445985978,12.49427423502008,34.903716519005464,3.384105476861199
overall,2,gru_h16,384,48,43,0.012473124750007,12.879597995430233,34.54054640059304,3.516096749653419
overall,2,gru_h8,384,48,43,0.0118746706424038,12.188574266930422,35.02638603719682,3.3663769752408066
overall,2,last_observation,384,48,43,0.0306414655145393,33.86795055617889,27.562305214935893,6.4254914658765
overall,2,presto_frozen,384,48,43,0.0124661587057441,12.93514130016168,34.56172960835689,3.506319570975999
overall,2,seasonal_median,384,48,43,0.012655021155903,13.17458991209666,34.43531261506354,3.5700853168964386
overall,2,shared_residual_ssm,384,48,43,0.0121866271050142,12.447063925365606,34.72858272961864,3.4230785463005304
overall,2,transformer_h16,384,48,43,0.0124744752283731,12.919775238881508,34.5503495240031,3.5079109479362764
overall,2,transformer_h8,384,48,43,0.0121257086745269,12.495931761960188,34.79637964681739,3.4682363038882613
overall,2,validation_selected_gru,384,48,43,0.0118746706424038,12.188574266930422,35.02638603719682,3.3663769752408066
overall,2,validation_selected_physical,384,48,43,0.0126502371288855,14.030094604939222,34.63838693241036,3.576608550734818
overall,2,validation_selected_transformer,384,48,43,0.0121257086745269,12.495931761960188,34.79637964681739,3.4682363038882613
overall,4,forest_conditioned_gru,384,48,43,0.0121775135424589,12.375124540179968,34.83846360551642,3.4420547342548766
overall,4,forest_conditioned_ssm,384,48,43,0.0123038941031457,12.671309268722933,34.720141356727154,3.4479468980183205
overall,4,gru_h16,384,48,43,0.0126787390242194,12.995302022745213,34.41372254439258,3.5576598293458424
overall,4,gru_h8,384,48,43,0.0122718224774871,12.35059161608418,34.739757550607486,3.46616625164946
overall,4,last_observation,384,48,43,0.0150699863236998,16.92172635595004,33.14340794936319,4.196688569771747
overall,4,presto_frozen,384,48,43,0.012634332159602,13.019326926519474,34.45592218110797,3.5427049417048693
overall,4,seasonal_median,384,48,43,0.0128033640576177,13.23387286439538,34.33808881924336,3.595160843183597
overall,4,shared_residual_ssm,384,48,43,0.0124642903768593,12.652009765307108,34.55563805724868,3.4894828417648878
overall,4,transformer_h16,384,48,43,0.0126377291987106,12.99005092556278,34.44767329975112,3.540777108942469
overall,4,transformer_h8,384,48,43,0.0124216132741518,12.56539716447393,34.58094000048717,3.527769272836546
overall,4,validation_selected_gru,384,48,43,0.0122718224774871,12.35059161608418,34.739757550607486,3.46616625164946
overall,4,validation_selected_physical,384,48,43,0.0128140316234445,14.154493077347675,34.504196473195265,3.603747743181884
overall,4,validation_selected_transformer,384,48,43,0.0124216132741518,12.56539716447393,34.58094000048717,3.527769272836546
class:broadleaf,all,forest_conditioned_gru,384,16,15,0.0131090519098506,12.035898794730503,33.939312121528,3.6921560748790703
class:broadleaf,all,forest_conditioned_ssm,384,16,15,0.0133819935241869,12.203275069594383,33.72150038806219,3.760554308071733
class:broadleaf,all,gru_h16,384,16,15,0.0139244516467442,12.605900907268127,33.267230879545,3.897228127655884
class:broadleaf,all,gru_h8,384,16,15,0.0133177958414307,12.094371474037567,33.73606239063998,3.751874729680518
class:broadleaf,all,last_observation,384,16,15,0.0245014703117097,23.800767317414284,29.33645816178901,6.251757659949362
class:broadleaf,all,presto_frozen,384,16,15,0.0139034779313078,12.635460055122772,33.2839082034043,3.896023264154792
class:broadleaf,all,seasonal_median,384,16,15,0.0140704541651454,12.921606330821913,33.19102875756699,3.981442293773095
class:broadleaf,all,shared_residual_ssm,384,16,15,0.0137047742997917,12.314857932428518,33.41252555024837,3.844376467168331
class:broadleaf,all,transformer_h16,384,16,15,0.0139082159560833,12.645657335718472,33.27734335016128,3.8947582859545946
class:broadleaf,all,transformer_h8,384,16,15,0.013534188636792,12.277810520182053,33.546021446331295,3.8340094393740096
class:broadleaf,all,validation_selected_gru,384,16,15,0.0133177958414307,12.094371474037567,33.73606239063998,3.751874729680518
class:broadleaf,all,validation_selected_physical,384,16,15,0.0137182252935114,12.97030388067166,33.576779572172406,3.891276916178564
class:broadleaf,all,validation_selected_transformer,384,16,15,0.013534188636792,12.277810520182053,33.546021446331295,3.8340094393740096
class:broadleaf,1,forest_conditioned_gru,128,16,15,0.0129258055494574,12.013385739177464,34.04755273500979,3.667482484132052
class:broadleaf,1,forest_conditioned_ssm,128,16,15,0.0132813951895514,12.191358309239147,33.76776358926264,3.7362263426184654
class:broadleaf,1,gru_h16,128,16,15,0.0138540417356125,12.622187472879888,33.2822007750884,3.880221378058195
class:broadleaf,1,gru_h8,128,16,15,0.0131516631918202,12.069854576140642,33.821394675830135,3.7314689811319113
class:broadleaf,1,last_observation,128,16,15,0.0251960535388207,24.53110743314028,28.87892786401914,6.405062788166106
class:broadleaf,1,presto_frozen,128,16,15,0.0138712844964175,12.689038760960102,33.28292376465819,3.885702298954129
class:broadleaf,1,seasonal_median,128,16,15,0.0140487572498386,12.96230659261346,33.1824748999037,3.977189029566944
