candidate,baseline,stratum,horizon_seasons,groups,windows,spatial_blocks,mae_gain,mae_ci_low,mae_ci_high,mae_win_fraction,mape_gain,mape_ci_low,mape_ci_high,mape_win_fraction,psnr_gain,psnr_ci_low,psnr_ci_high,psnr_win_fraction,sam_gain,sam_ci_low,sam_ci_high,sam_win_fraction
forest_conditioned_gru,seasonal_median,overall,1,384,48,43,0.0008742030862946,0.0006948245365408,0.0010521741614231,0.7942708333333334,0.963989150385524,0.6529211264536825,1.276250953313916,0.71875,0.7051345100509551,0.5821476576915193,0.8276690243176703,0.8098958333333334,0.2381396714684575,0.1735125516476326,0.3030622352824306,0.7135416666666666
forest_conditioned_gru,seasonal_median,broadleaf,1,128,16,15,0.0011361296366279,0.0008856521130655,0.0013749740005975,0.796875,0.9685980459054312,0.6467061633865039,1.2509317042926946,0.7109375,0.8620154620015221,0.6983722424728876,1.0112183202753604,0.859375,0.3243885482350985,0.2212379445011417,0.428331755871574,0.7578125
forest_conditioned_gru,seasonal_median,conifer,1,128,16,15,0.0005241037773278,0.0002869789091831,0.0007645110583204,0.75,0.8682431101799011,0.3474735094110171,1.5072397103905657,0.7109375,0.5063789783859833,0.30246931827645,0.7289176567909846,0.7265625,0.0959700698653856,0.0091640140861272,0.1798365592708188,0.609375
forest_conditioned_gru,seasonal_median,bamboo,1,128,16,16,0.0010359621701354,0.0007342612522734,0.0013304866760336,0.8359375,1.101871307939291,0.4658494343981147,1.6538278074935078,0.734375,0.8095421209204816,0.6201493347605014,1.0081055744909406,0.84375,0.315231985412538,0.228777633793652,0.401446519093588,0.7734375
forest_conditioned_gru,seasonal_median,overall,2,384,48,43,0.0008603238746345,0.0006759046157026,0.0010512669841392,0.7838541666666666,0.9395169574160908,0.6080814326571864,1.259273044609053,0.6744791666666666,0.6915494576671769,0.5670010497613072,0.8216039671719195,0.8020833333333334,0.2335326794621556,0.1676168948888432,0.3001744467938361,0.6822916666666666
forest_conditioned_gru,seasonal_median,broadleaf,2,128,16,15,0.0010802262714908,0.0007881649756745,0.0013530528794217,0.7578125,0.9446636418501536,0.5616151679555575,1.2785182547569274,0.6640625,0.82345606341506,0.6177243331101048,1.0298824773787676,0.8203125,0.3436632802089055,0.2335537315905094,0.4504168978581825,0.703125
forest_conditioned_gru,seasonal_median,conifer,2,128,16,15,0.0005433880539688,0.0003226228714629,0.0007620267970438,0.78125,0.8897001087665558,0.3815772260228793,1.491848224500815,0.6328125,0.5104254814110614,0.3145570814499783,0.7318045360120793,0.75,0.0830297355850537,-0.0031350171566009,0.1676379762714106,0.625
forest_conditioned_gru,seasonal_median,bamboo,2,128,16,16,0.0010239943476335,0.0006914766248883,0.0013398463515841,0.8125,1.0211972258985045,0.3395341761410236,1.5978127347305413,0.7265625,0.7949441099038101,0.6115144857700635,0.9803007684366684,0.8359375,0.2970744362100959,0.2093347885180264,0.3763956039911135,0.71875
forest_conditioned_gru,seasonal_median,overall,4,384,48,43,0.0006397464089258,0.0004445924501301,0.000838203980607,0.6848958333333334,0.9004015693830889,0.5878960180941016,1.221898962470681,0.6197916666666666,0.5010101674951796,0.3802891605728306,0.6264340370143782,0.7005208333333334,0.1610411201105561,0.0792928939641908,0.2422061440080056,0.5755208333333334
forest_conditioned_gru,seasonal_median,broadleaf,4,128,16,15,0.0007220139203127,0.0003960302299431,0.0010451904699342,0.6953125,0.790251890818278,0.4510095286369324,1.136270731687545,0.625,0.5740781946736937,0.3597395094433459,0.7874297430896545,0.6796875,0.2431427558263142,0.1185142639031012,0.3669854573160408,0.6015625
forest_conditioned_gru,seasonal_median,conifer,4,128,16,15,0.0003368395283663,6.780509516829625e-05,0.0005893532914342,0.6171875,0.8076111912727356,0.282225244641304,1.404996271332104,0.578125,0.2968905877895783,0.1116163426518,0.4971091771115836,0.6484375,-0.0364731167753537,-0.1497861581792434,0.0745967265591024,0.4140625
forest_conditioned_gru,seasonal_median,bamboo,4,128,16,16,0.0008553765328542,0.0005505843161699,0.0011544860417416,0.7421875,1.0407001972198486,0.4289233552291989,1.618520684633404,0.65625,0.6491602058687944,0.5020163470571709,0.8003931304504904,0.7734375,0.2793380748480558,0.1777132506016641,0.3795545809669418,0.7109375
forest_conditioned_gru,last_observation,overall,1,384,48,43,0.0125326561906678,0.0115381858191117,0.0136109044007837,0.984375,14.55504600045293,12.263935637006233,17.110354148128696,0.9635416666666666,5.883493751472802,5.479018435859382,6.299815609811712,0.9713541666666666,2.138215355228546,1.866234264964628,2.436473618196539,0.8984375
forest_conditioned_gru,last_observation,broadleaf,1,128,16,15,0.0123859696129026,0.0112070257453403,0.0136330813437234,0.9921875,12.23957273364067,9.637728464702766,15.510403074423472,0.96875,5.199122920569122,4.7785755118552204,5.64853829105898,0.984375,2.701690030594667,2.136402247212827,3.3374363241344684,0.890625
forest_conditioned_gru,last_observation,conifer,1,128,16,15,0.0132262802585804,0.0109865856170654,0.0156577028643126,1.0,20.499928587675093,15.73272487108906,25.734084486812343,0.96875,7.076274251089626,6.429489420781181,7.72328275385473,0.984375,2.197559979557991,1.89492703191936,2.528009879738092,0.953125
